City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Coquimbo,CL,2022-09-28 02:02:10,-29.9533,-71.3436,55.13,87,97,2.35
68,Dubbo,AU,2022-09-28 02:00:58,-32.25,148.6167,59.13,67,100,12.66
69,Avarua,CK,2022-09-28 02:03:01,-21.2078,-159.775,78.85,89,75,10.36
70,Butzow,DE,2022-09-28 02:03:02,53.85,11.9833,51.1,93,100,8.25
71,Pevek,RU,2022-09-28 02:03:03,69.7008,170.3133,29.46,74,94,7.38
72,Puerto Ayora,EC,2022-09-28 02:03:03,-0.7393,-90.3518,65.55,92,89,1.99
73,Arraial Do Cabo,BR,2022-09-28 02:03:04,-22.9661,-42.0278,69.89,94,96,6.78
74,Holme,DK,2022-09-28 02:03:04,56.1138,10.1725,49.57,94,100,6.91
75,Nikolskoye,RU,2022-09-28 02:03:05,59.7035,30.7861,37.29,97,15,4.21
76,Tutin,RS,2022-09-28 02:03:05,42.9903,20.3314,48.38,88,71,3.38
77,Mayo,US,2022-09-28 02:03:06,38.8876,-76.5119,63.14,61,0,8.05
78,San Patricio,US,2022-09-28 02:03:07,28.017,-97.5169,82.26,44,0,8.03
79,Saint George,US,2022-09-28 02:03:08,37.1041,-113.5841,86.95,29,0,1.01
80,Maniitsoq,GL,2022-09-28 02:03:08,65.4167,-52.9,42.55,93,100,9.46
81,Nikki,BJ,2022-09-28 02:03:09,9.9401,3.2108,71.33,96,100,7.09
82,Christchurch,NZ,2022-09-28 01:58:20,-43.5333,172.6333,61.41,80,75,11.5
83,Barrow,US,2022-09-28 02:01:44,71.2906,-156.7887,30.22,86,100,12.66
84,Busselton,AU,2022-09-28 02:03:11,-33.65,115.3333,63.55,66,93,7.09
85,Ostrovnoy,RU,2022-09-28 02:03:11,68.0531,39.5131,37.81,78,100,7.99
86,Kasongo-Lunda,CD,2022-09-28 02:03:12,-6.4667,16.8167,70.75,94,100,1.16
87,Hirara,JP,2022-09-28 02:03:12,24.8,125.2833,82.09,77,1,7.7
88,Asyut,EG,2022-09-28 02:03:13,27.181,31.1837,85.33,25,0,6.71
89,Hobart,AU,2022-09-28 02:02:28,-42.8794,147.3294,60.22,81,75,13.8
90,Tasiilaq,GL,2022-09-28 02:03:14,65.6145,-37.6368,35.76,97,100,4.05
91,Codrington,AU,2022-09-28 02:04:15,-38.2667,141.9667,54.61,78,100,13.69
92,Rongcheng,CN,2022-09-28 02:04:15,30.634,117.8517,72.61,80,98,3.6
93,Carroll,US,2022-09-28 02:04:16,39.5501,-77.0164,57.63,65,0,9.22
94,Meulaboh,ID,2022-09-28 02:04:17,4.1363,96.1285,74.43,93,100,2.62
95,Porto Belo,BR,2022-09-28 02:04:10,-27.1578,-48.5531,67.15,79,100,6.82
96,Yulara,AU,2022-09-28 02:01:22,-25.2406,130.9889,73.22,25,0,17.25
97,Tuktoyaktuk,CA,2022-09-28 02:04:18,69.4541,-133.0374,32.95,94,100,23.51
98,Ilulissat,GL,2022-09-28 02:04:19,69.2167,-51.1,37.42,93,100,2.3
99,Jamestown,US,2022-09-28 01:59:40,42.097,-79.2353,54.99,70,85,10.0
100,Bengkulu,ID,2022-09-28 02:03:52,-3.8004,102.2655,79.2,80,98,1.57
101,Xiaoshan,CN,2022-09-28 02:04:20,30.1675,120.2588,76.86,73,40,4.47
102,Sayyan,YE,2022-09-28 02:04:21,15.1718,44.3244,59.02,32,7,4.81
103,Mahebourg,MU,2022-09-28 02:01:07,-20.4081,57.7,71.89,64,75,11.5
104,Cherskiy,RU,2022-09-28 02:04:22,68.75,161.3,33.22,50,9,4.34
105,Novi Pazar,RS,2022-09-28 02:04:23,43.1367,20.5122,50.92,90,55,2.37
106,Kavaratti,IN,2022-09-28 02:04:24,10.5669,72.642,81.43,74,33,13.33
107,New Norfolk,AU,2022-09-28 02:04:24,-42.7826,147.0587,59.88,69,98,1.01
108,Geraldton,AU,2022-09-28 02:04:25,-28.7667,114.6,75.61,33,0,5.75
109,Ilo,PE,2022-09-28 02:04:27,-17.6394,-71.3375,59.59,82,2,9.01
110,Khatanga,RU,2022-09-28 02:04:27,71.9667,102.5,20.91,90,95,3.51
111,Benguela,AO,2022-09-28 02:04:28,-12.5763,13.4055,69.1,87,12,3.62
112,Bathsheba,BB,2022-09-28 02:04:28,13.2167,-59.5167,81.05,95,75,11.5
113,Prince George,CA,2022-09-28 02:04:29,53.9166,-122.753,67.44,57,0,3.44
114,Ust-Charyshskaya Pristan,RU,2022-09-28 02:04:30,52.3934,83.6635,46.45,87,100,13.96
115,Springbok,ZA,2022-09-28 02:04:30,-29.6643,17.8865,49.82,38,2,2.42
116,Lisala,CD,2022-09-28 02:04:31,2.15,21.5167,67.06,99,99,2.01
117,Touros,BR,2022-09-28 02:04:31,-5.1989,-35.4608,75.72,72,1,15.86
118,Fortuna,US,2022-09-28 02:04:32,40.5982,-124.1573,62.91,79,5,1.99
119,Coihaique,CL,2022-09-28 02:04:33,-45.5752,-72.0662,44.55,70,0,4.61
120,Tatvan,TR,2022-09-28 02:04:34,38.5067,42.2817,57.2,32,0,4.14
121,Alugan,PH,2022-09-28 02:04:34,12.2188,125.4808,82.65,77,96,2.3
122,Gornopravdinsk,RU,2022-09-28 02:04:35,60.05,69.9,26.47,90,97,5.88
123,Bambous Virieux,MU,2022-09-28 02:04:35,-20.3428,57.7575,71.85,64,75,11.5
124,Ust-Omchug,RU,2022-09-28 02:04:36,61.15,149.6333,35.62,78,100,5.1
125,Haines Junction,CA,2022-09-28 02:04:37,60.7522,-137.5108,44.04,72,44,2.62
