City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
587,Santiago Del Estero,AR,76.62,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
590,Maragogi,BR,80.64,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
591,Galesong,ID,77.02,scattered clouds,-5.3166,119.3661,Sapriadi Appy
597,Theodoriana,GR,76.68,broken clouds,39.4356,21.21,Lefteri's & Loukia's Guesthouse
599,Lata,PT,78.93,clear sky,40.1629,-8.3327,Casa Maquia
601,Mwinilunga,ZM,88.43,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
602,Brokopondo,SR,84.67,overcast clouds,4.75,-55.1667,Matu Island
603,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
604,Kanye,BW,89.35,clear sky,-24.9667,25.3327,The Savanna Lodge
605,Irece,BR,85.82,clear sky,-11.3042,-41.8558,Hotel Copa 70
610,Sile,TR,84.87,clear sky,41.1754,29.6133,Phellos Suites
612,Kourou,GF,89.65,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
613,Kismayo,SO,78.82,clear sky,-0.3582,42.5454,Agan-Hotel
614,Aden,YE,88.14,clear sky,12.7794,45.0367,Sama Emirate Hotel
616,Gizo,SB,81.75,few clouds,-8.103,156.8419,Imagination Island
617,Kota Kinabalu,MY,78.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
618,Port Moresby,PG,78.22,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
622,Grand-Lahou,CI,77.09,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
623,Kanniyakumari,IN,79.95,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
625,Bintulu,MY,82.81,scattered clouds,3.1667,113.0333,900 Boutique INN
628,Port Hedland,AU,75.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
630,Zhangzhou,CN,82.33,clear sky,24.5133,117.6556,Crowne Plaza Zhangzhou
634,Mugla,TR,88.18,clear sky,37.2303,28.3557,Petek Hotel
637,Cartagena,CO,80.22,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
638,Takoradi,GH,78.4,light rain,4.8845,-1.7554,Raybow International Hotel
639,Nobres,BR,89.89,scattered clouds,-14.7203,-56.3275,Hotel Portal Nobres
641,Erzin,TR,88.97,clear sky,36.9559,36.2,Artemis Otel
642,Mani,CO,75.96,overcast clouds,4.8172,-72.2886,Hotel Belgrado
646,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
650,Nago,JP,75.63,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
658,Jilib,SO,82.85,scattered clouds,0.4883,42.7854,Waadi Hotel
660,Maceio,BR,85.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
662,Nchelenge,ZM,86.02,broken clouds,-9.3451,28.734,KD Travellers Home
664,Samana,DO,78.76,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
669,Kupang,ID,80.46,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
671,Presidencia Roque Saenz Pena,AR,78.44,clear sky,-26.7852,-60.4388,Hotel Gualok
676,Barcelona,ES,82.29,clear sky,41.3888,2.159,Axel Hotel Barcelona
