City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Sorland,NO,67.667,12.6934,51.66,61,20,13.04,few clouds
70,Nerchinskiy Zavod,RU,51.3088,119.61,42.13,96,100,1.48,overcast clouds
71,Tuktoyaktuk,CA,69.4541,-133.0374,32.81,82,100,11.92,overcast clouds
72,Bud,US,39.447,-86.1758,57.85,85,0,13.2,clear sky
73,Port Elizabeth,ZA,-33.918,25.5701,70.11,70,78,1.99,broken clouds
74,Kysyl-Syr,RU,63.8986,122.7617,26.1,78,98,1.97,overcast clouds
75,Barrow,US,71.2906,-156.7887,26.62,86,100,12.66,overcast clouds
76,Qaanaaq,GL,77.484,-69.3632,11.62,70,0,5.61,clear sky
77,Novikovo,RU,51.1537,37.8879,68.95,62,87,10.89,overcast clouds
78,Carutapera,BR,-1.195,-46.02,87.85,58,68,11.3,broken clouds
79,Hit,IQ,33.6416,42.8251,96.89,12,0,10.04,clear sky
80,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,73,75,19.57,broken clouds
81,Belmonte,BR,-15.8631,-38.8828,78.31,69,74,11.41,broken clouds
82,Khatanga,RU,71.9667,102.5,29.93,97,100,14.47,light snow
83,Guerrero Negro,MX,27.9769,-114.0611,68.14,81,4,12.48,clear sky
84,Chuy,UY,-33.6971,-53.4616,63.52,67,30,8.81,scattered clouds
85,Cuauhtemoc,MX,28.4167,-106.8667,58.01,69,61,0.51,broken clouds
86,Hami,CN,42.8,93.45,52.68,18,100,22.55,overcast clouds
87,Kahului,US,20.8947,-156.47,78.84,83,2,8.01,clear sky
88,Hermanus,ZA,-34.4187,19.2345,68.81,64,100,10.36,overcast clouds
89,Chitipa,MW,-9.7024,33.2697,82.87,26,0,12.06,clear sky
90,Punta Arenas,CL,-53.15,-70.9167,46.11,45,27,18.14,scattered clouds
91,Formby,GB,53.5536,-3.0682,65.95,69,1,23.69,clear sky
92,Asau,RO,46.4333,26.4,78.28,43,100,5.14,overcast clouds
93,Sitka,US,57.0531,-135.33,53.49,100,100,6.91,moderate rain
94,Luau,AO,-10.7073,22.2247,77.74,42,94,8.48,overcast clouds
95,Havelock,US,34.8791,-76.9013,71.94,79,86,1.99,overcast clouds
96,Oum Hadjer,TD,13.2954,19.6966,100.58,17,5,5.35,clear sky
97,Bitung,ID,1.4451,125.1824,79.65,77,56,1.57,broken clouds
98,Yakeshi,CN,49.2833,120.7333,43.93,81,100,3.87,moderate rain
99,Dallas,US,32.7668,-96.7836,69.69,62,0,1.01,clear sky
100,Ambulu,ID,-8.345,113.6058,76.59,91,100,0.69,light rain
101,Mahenge,TZ,-8.6833,36.7167,78.33,38,51,3.06,broken clouds
102,Marsa Matruh,EG,31.3525,27.2453,86.05,53,0,12.86,clear sky
103,Roma,US,43.2128,-75.4557,54.09,83,0,0.0,clear sky
104,Trelew,AR,-43.249,-65.3051,63.32,24,8,13.04,clear sky
105,Hasaki,JP,35.7333,140.8333,70.2,75,0,12.88,clear sky
106,Sao Filipe,CV,14.8961,-24.4956,79.88,78,17,9.53,few clouds
107,Asfi,MA,32.2994,-9.2372,75.97,55,7,21.09,clear sky
108,Waddan,LY,29.1614,16.139,104.05,9,0,14.2,clear sky
109,Ponta Do Sol,PT,32.6667,-17.1,80.71,69,75,2.39,broken clouds
110,Ossora,RU,59.2353,163.0719,39.74,78,39,3.27,scattered clouds
111,Adrar,MR,20.5022,-10.0711,88.09,21,0,6.29,clear sky
112,Manggar,ID,-2.8833,108.2667,81.19,77,90,1.52,overcast clouds
113,Laguna,US,38.421,-121.4238,67.08,81,0,5.75,clear sky
114,Esperance,AU,-33.8667,121.9,56.5,74,100,14.41,overcast clouds
115,Awjilah,LY,29.1081,21.2869,104.97,11,0,12.86,clear sky
116,Port-Gentil,GA,-0.7193,8.7815,73.36,100,100,5.75,light rain
117,Uvira,CD,-3.4067,29.1458,84.94,51,50,6.4,light rain
118,Te Anau,NZ,-45.4167,167.7167,31.39,97,55,2.46,broken clouds
119,Presidente Medici,BR,-11.1753,-61.9014,89.17,43,18,6.29,few clouds
120,Cabo San Lucas,MX,22.8909,-109.9124,82.51,74,8,6.87,clear sky
121,Kavaratti,IN,10.5669,72.642,81.52,77,100,15.19,overcast clouds
122,Morris,US,40.8334,-74.5329,53.15,92,100,9.22,overcast clouds
123,Springbok,ZA,-29.6643,17.8865,84.69,6,9,7.05,clear sky
124,Kodiak,US,57.79,-152.4072,33.31,86,0,6.91,clear sky
125,San Quintin,MX,30.4833,-115.95,66.4,80,100,7.94,overcast clouds
126,Kibre Mengist,ET,5.8833,38.9833,68.36,69,97,0.56,light rain
127,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,65,75,19.57,broken clouds
128,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,68,100,12.64,overcast clouds
129,Aklavik,CA,68.2191,-135.0107,32.05,99,100,5.91,overcast clouds
130,Kruisfontein,ZA,-34.0033,24.7314,67.89,60,59,10.36,broken clouds
131,Lorengau,PG,-2.0226,147.2712,81.75,76,22,8.5,few clouds
132,Atuona,PF,-9.8,-139.0333,75.22,78,80,15.93,light rain
133,Avarua,CK,-21.2078,-159.775,69.85,68,100,4.61,overcast clouds
134,Saint Anthony,US,45.0205,-93.218,58.21,78,100,5.75,overcast clouds
135,Bredasdorp,ZA,-34.5322,20.0403,66.27,50,100,11.65,overcast clouds
